English,HU201,Humanities - English,all,II,,
English,EN301,English III,all,III,,
English,EN421,The Novel,T1,IV,,
English,EN422,Advanced Poetry,T1,IV,,
English,EN423,Essay Writing,T1,IV,,
English,EN501,Writing Seminar,T1,V,,
English,EN502,Introduction To Literature,T2,V,,
English,EN503,Fiction Seminar,"T1,T2,T3",V,,
English,EN505,Style And Expression In Creative Writing,"T1,T2,T3",V,,
English,EN506,Literary Journalism,T2,V,,
English,EN507,Literature Of National Pastime,T1,V,,
English,EN508,African American Literature,T1,V,,
English,EN510,Literature Of The Beat Generation,T3,V,,
English,EN511,Asian American Literature,T3,V,,
English,EN512,Contemporary Women Writers,T2,V,,
English,EN513,Nobel Pulitzer National Booker,T1,V,,
English,EN514,This Happy Breed:Shakespeare's Epic Tale,T1,V,,
English,EN515,Springtime With The Puritans,T3,V,,
English,EN516,Essays Of Reflection,T3,V,,
English,EN519,Southern African Literature,T3,V,,
English,EN523,Hemingway,T2,V,,
English,EN524,International Short Fiction,T2,V,,
English,EN525,Irish Literature,T1,V,,
English,EN526,Journalism Seminar: Literature Of Fact,T3,V,,
English,EN528,Law As Literature,T3,V,,
English,EN530,Mark Twain,T3,V,,
English,EN531,Gender And Literature,T1,V,,
English,EN532,Milton,T2,V,,
English,EN533,Moby Dick,T1,V,,
English,EN535,Modern Irish Drama,T3,V,,
English,EN536,Creative Non-Fiction,T1,V,,
English,EN537,Modern Thought And Literature,T1,V,,
English,EN539,Patterns In The Short Story,T3,V,,
English,EN540,Poetry Seminar,T2,V,,
English,EN542,Southern Literature,T1,V,,
English,EN543,Temptation Of Power,T3,V,,
English,EN544,Shakespeare's Comedies: Masks We Wear,T1,V,,
English,EN546,Colonialism In Literature,T1,V,,
English,EN547,The Screwball Comedy and its Critics,T1,V,,
English,EN548,West Of Everything,T1,V,,
English,EN551,Signifying Nothing: Experimental Novels,T3,V,,
English,EN553,Trauma And The Literary Imagination,T1,V,,
English,EN554,Chaucer: Text and Context,T1,V,,
English,EN555,Boarding School Literature,T3,V,,
English,EN556,Modern English Plays,T3,V,,
English,EN557,Multicultural American Fiction,T1,V,,
English,EN558,Utopian Imagination in Literature & Film,T2,V,,
English,EN559,The Graphic Novel,T3,V,,
English,EN560,Public and Private:Writers As Diarists,T2,V,,
English,EN563,The New York School of Poets,T3,V,,
English,EN564,Mystery of Language: Detective Fiction,T2,V,,
English,EN565,War Stories,T1,V,,
English,EN566,Versions of Lear,T3,V,,
English,EN567,Voices in the Family,T1,V,,
English,EN572,Current Avant Garde Lit.,T2,V,,
English,EN575,Poetry Workshop,T3,V,,
English,EN599,Ind. Study: English,"T1,T2,T3",V,,
History,HU204,Humanities - Cultural Studies,all,II,,
History,HI301,Forces That Shaped The Modern World,all,III,,
History,HI404,U.S. History,all,IV,HI301,
History,HI451,Economics,"T1,T2,T3","IV,V",HI301,
History,HI505,Topics in Intellectual History,T3,V,HI404,
