Subject,Course ID,Course Name,Catalog Description,Terms,Forms,Prerequisites,fix
English,HU201,Humanities - English,"This year-long English class stresses the development of students' skills in writing and grammar, close reading, and discussion, while introducing them to some of the works in the literary canon. The course begins with an intensive writing period, refreshing skills in description and narration while focusing on the students' place at Lawrenceville and in the greater community. We use modern and ancient stories to spur our thinking and discussion. Many sections study Antigone or one of the Platonic dialogues as vehicles through which we introduce and practice close reading and Harkness skills. Having deliberately outlined these skills, we move on to read the story of the Monkey King, The Ramayana, Homer's Odyssey, a Shakespeare play, Bible stories from the Old and the New Testaments, The Catcher in the Rye, and several shorter works. Reading focuses primarily on the Western tradition with some work connected to the freshman theater production in the winter and modern India in the spring. While much of the writing students do in this course focuses on forming an argument and using a text to support the steps of that argument, students also write for a variety of purposes, including to express themselves, to explore and come to understand complicated ideas, and to imitate stylistic and formal features of the authors they study. Working in tandem with Humanities Cultural Studies, Humanities English builds a foundation of skills and knowledge for the beginning student of the humanities. Grants: NCAA;   Terms: All;   Forms: II",all,II,,
English,EN301,English III,"Readings in short fiction focus on the devices and tools of the short story writer (e.g., point of view, tone, setting, characterization) and let students study how these tools are deployed by a variety of nineteenth and twentieth century writers, including Nathaniel Hawthorne, Charlotte Perkins Gilman, Kate Chopin, and William Faulkner. Writing assignments ask students to craft a thesis statement and topic sentences that structure and organize their work. Students also work on discovering evidence and integrating it smoothly into their analytical prose. Students also have an opportunity to experiment with writing their own short fiction. Grammar lessons review the basic parts of speech, phrases, and clauses. At the end of the term, students read The Great Gatsby and write about their understanding of the novel's use of some of the tools of fiction they have studied. Grants: NCAA;   Terms: All;   Forms: III ",all,III,,
English,EN421,The Novel,"This course builds upon English III by developing students’ skills at interpreting and contextualizing works of literature written in different genres.  The fall term is devoted to the study of long-form fiction. The reading materials include novels by a diverse range of authors from the nineteenth and twentieth centuries. Analytical writing continues to play a central role in the curriculum, with students composing analytical papers each of three novels. Discussion-based inquiry around the Harkness table encourages careful deliberation and constructive debate. Grants: NCAA; Terms: T1; Forms: IV",T1,IV,,
English,EN422,Advanced Poetry,"This course builds upon English III by developing students’ skills at interpreting and contextualizing works of literature written in different genres.  The fall term is devoted to the study of long-form fiction. The reading materials include novels by a diverse range of authors from the nineteenth and twentieth centuries. Analytical writing continues to play a central role in the curriculum, with students composing analytical papers each of three novels. Discussion-based inquiry around the Harkness table encourages careful deliberation and constructive debate. Grants: NCAA; Terms: T1; Forms: IV",T1,IV,,
English,EN423,Essay Writing,"This course builds upon English III by developing students’ skills at interpreting and contextualizing works of literature written in different genres.  The fall term is devoted to the study of long-form fiction. The reading materials include novels by a diverse range of authors from the nineteenth and twentieth centuries. Analytical writing continues to play a central role in the curriculum, with students composing analytical papers each of three novels. Discussion-based inquiry around the Harkness table encourages careful deliberation and constructive debate. Grants: NCAA; Terms: T1; Forms: IV",T1,IV,,
English,EN501,Writing Seminar,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN502,Introduction To Literature,"ONLY FOR NEW STUDENTS. Courses EN501 and EN502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN503,Fiction Seminar,"This course will focus on developing each student's fiction writing skills and his/her ability to help others write fiction. Various writing exercises and readings will also be done in class, and guest authors will read to the students. Outside of class, students will do assigned writing on their own, and each student will meet for individual conferences during which the teacher will offer ways of improving the student's writing. There will be no exam, but each student will be required to complete a manuscript of finished work. The student's finished work will be submitted to various contests and publications with the hope that the student will have some work published. There will also be a public reading at the end of the term when students will read from their own work. The course is limited to ten students. Grants: Honors NCAA;   Terms: T1 or T2 or T3;   Forms: V","T1,T2,T3",V,,
English,EN505,Style And Expression In Creative Writing,"Take this elective to balance the analytical side of your training. Identify your expressive voice and find out what it sounds like and what it looks like on paper. A series of graduated exercises trains you to manipulate increasingly demanding elements of dialogue, monologue, drama, autobiography, dream, poetry, and fiction. Grants: Honors NCAA;   Terms: T1 or T2 or T3;   Forms: V","T1,T2,T3",V,,
English,EN506,Literary Journalism,"It's a complex fate, being an American, wrote Henry James. This course will search for the American ethos through literary journalism across genres and disciplines. Discussions will focus on twentieth century essays, editorials, fiction, poetry, autobiography, and interviews. The class will trace the evolution of American political and literary thought through journalists, authors, and such public philosophers as H. L. Mencken, E. B. White, Walter Lippmann, Mark Twain, Ernest Hemingway, F. Scott Fitzgerald, Sherwood Anderson, T. S. Eliot, Lillian Hellman, James Weldon Johnson, W. E. B. Dubois, Richard Wright, Robert Frost, and Edna St. Vincent Millay. We will examine the role of writers as outsiders and invaluable social critics and focus on the complex and fascinating relationship between truth and fiction. Students will learn not only how to do research and analyze across disciplines, but how to write definitive, journalistic research-based and critical literary magazine articles as well. Students will be responsible for writing and editing three literary magazines and writing and producing three television programs. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN507,Literature Of National Pastime,"This course is designed to examine how the 20th century literature of our National Pastime affects and reflects American society. Through selected poems, essays, short stories, a novel, and an autobiography, we will explore how the mythic influence of baseball has shaped American culture. Ultimately the course will arrive at some conclusions supporting the assertion that baseball has had a unique grip on our national psyche. The vivid and unforgettable literature portrays the game's greatest heroes, how they were shaped by their times, and how their lives and legends reflect the changes in our society over the past hundred years. Writing requirements include several shorter essays and a final longer paper. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN508,African American Literature,"Students study the best works written by black American writers after the Harlem Renaissance of the 1920s, with a primary emphasis on fiction and drama. The central concern of this course will be the efforts of black writers to explore artistically the conflicting claims of their racial and national identities and their perception of themselves as both apart from and a part of the American cultural scene. Readings include Richard Wright's Uncle Tom's Children, Ralph Ellison's Invisible Man, Toni Morrison's Beloved, and August Wilson's The Piano Lesson. Essays, stories and poems by James Baldwin, Zora Neale Hurston, Gwendolyn Brooks, and Robert Hayden will also be considered. Writing requirements include two short essays, a midterm, and a longer final paper. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN510,Literature Of The Beat Generation,"Jack Kerouac reputedly coined the term ""beat generation"" while meditating in a Catholic church on the hard life of his friends who had described themselves as ""beat"" by the culture in which they lived. They expressed dissatisfaction with a world that had embraced atomic weapons, the convenience of prepackaged foods, and ""the great eye"" of television that hypnotized Americans in every home. We will read the protest literature of Kerouac, Burroughs, Ginsberg, Ferlinghetti, Snyder, and others. Since Jazz rhythms and phrasing influenced much of the writing, good hepcats and kitties must listen to the music of Charlie Parker. Hipsters transformed into hippies, so we will also study counterculture poetry and prose. Students will demonstrate their understanding of the readings in two to three critical essays, numerous journal entries in the form of original poetry and prose, and one or two performance-based presentations. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN511,Asian American Literature,"This course is an introduction to Asian American literature. Throughout the term, we will cover a variety of texts ranging from well-known writers/poets such as Maxine Hong Kingston (The Woman Warrior), Jhumpa Lahari (Interpreter of Maladies), and Li-Young Lee (The City in Which I Love You) to some lesser known such as Theresa Cha (Dictee) and Carlos Bulosan (America Is in the Heart). As we navigate through the texts, we will attempt to answer the following questions: What does it mean to be Asian American? How does Asian American literature ""fit"" into and respond to the literary canon? What are the potential problems or benefits of having an all-encompassing category of ""Asian American"" literature? Finally, how does Asian American literature align with or distance itself from that of other marginalized groups? Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
